I'm seriously thinking of going hard on MU puts for earnings in 4 days. Specifically $33 June 28 puts. Their earnings is going to be MAJOR shit because of the Huawai blacklisting which accounted for 13% of MU's sales. Not to mention they have been getting downgraded and slowly bleeding already from last pump to $34ish level.,MU,33,June 28,1
I’ve got me some $157.50/162.50 spreads 02/01. Considering selling my 6 month qqq calls and just going balls deep in aapl weeklies ,qqq,157.50,02/01,1
i woke up with my $65 08/17 VSAT put on fire... but i got scared and sold hella early.,VSAT,65,08/17,1
"Made a lot of money from my MSFT and V calls. Also bought Jan 2019 $60 MU calls, I just couldn't resist. Let's hope we all get rich together.",MU,60,Jan 2019,1
"As mentioned that's a strangle you're taking about. I sold a put spread.  For NFLX, I sold a 4/20 302.50 put and bought a 4/20 300 put. I collected a $100 premium right away (the put I sold plus the put I bought was a net  $100). Max loss is the difference between the strikes ($250) minus the premium, so $150.  I'll probably be able to keep 80-90% of that premium when I close the position this morning.",NFLX,302.50,4/20,1
Fwiw there was unusual activity on the sanofi Jan 2020 $48 calls yesterday,Fwiw,48,Jan 2020,1
Sounds like you were cocky and didn't understand what you were holding and were way over exposed. I say that because I have a similar story and blew up 50k in 2 months the same way. Using leverage without understanding it can blowup an amount with or without options in the mix.   Side note I decided to really learn what I was playing with since then I've made it all back with interest on much smarter options plays (ex bought 10 Roku calls @ $32 expy Jan 2020 when roku was at 30 early last year).,Roku,32,Jan 2020,1
All the hedge funds are shorting Nike. You’ll lose everything. Get some MU 7/20 calls - $90 strike.,MU,90,7/20,1
Old school memeing this week fucking with some SDRL .50 jul calls.,SDRL,50,jul,1
But than again I sold $132 11/22 $ROKU calls when it was at $134 and put it all on $AMD put $36.5 11/29 so wtf do I know,ROKU,132,11/22,1
Are Mid october 30.5 amd calls dead? Whatever the answer imma sleep in and ignore the pain🤢,amd,30.5,october,1
60 call contracts for 11/30 QQQ $165 right at open.,QQQ,165,11/30,1
"26 calls Aug 18 62.00 - Got in at 2.66  Extremely confident. I'm thinking it will fly off a solid beat and killer guidance. I'm dumping ASAP tomorrow morning though and running with my profits.  Lots of articles agree with a bullish sentiment. If anyone needs more info, simply googling ""ATVI stock"" and hitting the news tab should give you the info you need to help make a decision.  It's definitely a gamble, but one I'm OK with.",ATVI,62.00,Aug 18,1
Stupidly bought VXX 39.5 calls for 1/25 yesterday - sell or hold? ,VXX,39.5,1/25,1
Who’s looking for a deal!?!?  I’ve got some great calls for sale premarket shit. That good dark pool options kinda shit.   $PTI C$61 2/20 .46 great deal!  Buy them before they are gone!,PTI,61,2/20 .46,1
"Get involved with options.  It has really changed the way I look at investing.  No longer am I satisfied with the meager 8-10% annual gain that they say you should be happy with.  As a whole, my options since May 1st are up over 40%.  The thing is there are some laggards (Costco calls) that I see recovering more after the unfair sell-off from the Whole Foods acquisition and my return will be better.  If Costco hits all time highs, my three June calls are up over 80%.    I own Facebook calls and I think the stock can hit $180 or $190 this year, which will put them up even more.  My Facebook calls are up about 82% right now. I own 7 $JD Jan 2019 $50 strike calls that are up 15%.  If the stock doubles in price in 12 months from current price, my $JD calls will be up over 650%.    I own a Visa call option which is up 60% since I bought it on May 22nd.  In that same time, the stock has ""only"" gained 13.42%.  I might sell the visa call option and take profits, but not sure.  I'm not saying all this to brag.  I am saying this to show you what is possible if you learn how to invest/trade in stocks that are either growing or unfairly knocked down like Costco was.  Options have really opened up a new world of investing for me and with that, I have made a higher return in 4.5 months, than I could have ever imagined making in 1-2 years.",JD,50,Jan 2019,1
Ask on the GE January 2019 $15.00 calls is not correct.  Unless I’m completely reading this wrong which could be a highly likely possibility. Last I saw Friday was $1.26 with a current price of $1.25. I only know that cause I’ve owned them for awhile. ,GE,15.00,January 2019,1
Whoever bought ROKU Sept 20 $140 puts.. You're fuckin rich. Please post screenies.  Closing price yesterday 0.44 high today 6.50,ROKU,140,Sept 20,1
Anyone else thinking about picking up a 1/31 $AMD $49 straddle shortly before close?,AMD,49,1/31,1
Really considering dropping $1k on Jan20 $5 or $6 GE puts,GE,5,Jan20,1
Dude me too. I wrote box spread immediately after I got the paper. Then I think about my SPY 310 11/15 I just bought this morning.,SPY,310,11/15,1
im holding tgt 65 oct calls till expiration lets go,tgt,65,oct,1
"So on wednesday I had a retarded idea of shorting the very open, then watched 6.4k become 3.8k by the close. Today opened at 7.2k how lucky.  &amp;#x200B;  Sold my 40x of my 7/14 SPY $297 puts, now bought 10x 8/1 SPY $300 puts and 20x 7/9 $296 puts. The second one is a total fucken gamble.",SPY,297,7/14,1
SPY 5/17 $290 puts.  DD: This will work because the market owes me.,SPY,290,5/17,1
"If that happens I will cry, as I had SPY 292.50 5/6 FDs I sold at a huge loss (150ish contracts give or take) on Friday expecting a sell off at some point that never came. Wasn't gonna hold them over the weekend and take a gap up on the chin, and now this news.  If we open at 288 I might throw up.",SPY,292.50,5/6,1
"I believe in you, OP.  From my understanding Street analyst have underestimated EOY2020 sub's. I think the ballpark was 20-30m world wide?? Man, they will have that in the US alone probably H12020, much less ROW. I'm in on $135 10/18 might buy some shorter strikes to fill the gaps but longer Exp.",EOY,135,10/18,1
SQQQ 16 12/21 calls? ,SQQQ,16,12/21,1
Sell the $27.50 put for AMD for 9/14. Should be an easy $100. Use the money to buy a couple $29 calls for 9/14. Exit at 20-30% profit.,AMD,27.50,9/14,1
Can someone give some advice on my 9/14 $36 TWTR calls? They're down 60% and I'm wondering if I should just cut my losses. ,TWTR,36,9/14,1
I somehow ended up with 15 $51 AMD calls for next Friday. I need help.,AMD,51,next,1
$CCL earnings looking like they will be strong. Average Price Target is $73.00. I am jumping on calls @ $67 10/12.,CCL,67,10/12,1
"same thing here, just yolo'd 600.00 worth of AMD 18.00 puts for friday ",AMD,18.00,friday,1
BAC $28 put 11/30  DE $128 put 11/30  GPS $22 put 11/30  *chuckles*  Am I in danger?,BAC,28,11/30,1
Picked up some GE $8.5 12/14 this morning. Hold? ,GE,8.5,12/14,1
No this isn't accurate I never wrote options. I only bought and sold premiums. There is one sell in there on Aug 19 SPY $296 with no buy position because it was an already open trade. I was just closing that position for a loss,SPY,296,Aug 19,1
I'm trying May17 77.5 AXP calls.,AXP,77.5,May17,1
Lol I have 6/29 12.50 puts returned 100% yesterday but still down 90%,Lol,12.50,6/29,1
yeah but how else am I supposed to blow up my account without buying 5/18 $10 AMD calls?,AMD,10,5/18,1
"Don't feel too bad, I sold a Sept 22 $13.5 AMD call. More than what I paid for the stock, but its been sluggish for some time, until today I didn't think it would execute.",AMD,13.5,Sept 22,1
"Been printing thanks to $AAOI.  If anyone is interested in an earnings play this one reports tomorrow after the bell.   Dislaimer: I have taken my profits, but still hold two 11/15 10.5 puts that I purchased as a hedge. I will probably hold them through earnings.",AAOI,10.5,11/15,1
So with having 5x BYND Aug16 $300 calls bought at 1.97 avg the worst-case scenario that can happen to me is I lose all $985 correct? Is there anything else I would have to owe if shit hits the fan?,BYND,300,Aug16,1
"For the safety of WSB, I'm glad NXTC doesn't have an option chain    *NextCure Inc*     *NASDAQ: NXTC*     *89.62 USD +63.19 (239.08%)*     *Nov 5, 12:02 PM EST*",N,89.62,Nov 5,1
"Bought Goog 11/29 $1250 put, $21  Sold Goog 11/29 $1205 put, $11",Goog,1250,11/29,1
I got in 15 GPRO Feb 19 2016 18.0 Call and 5 GPRO Feb 05 2016 13.0 Call	 ,GPRO,18.0,Feb 19 2016,1
1/10 16.5 SLV put printing. Wish I got more this morning.,SLV,16.5,1/10,1
"Sold all my TSLA sept calls, gonna let my Dec $300 ride up to earnings. 🔥🔥 day",TSLA,300,Dec,1
Can we talk about SNAP?  I've loaded up on $10 April Puts. This is such a piece of shit company. ,SNAP,10,April,1
"I am going to let Netflix run tomorrow, and sell around 10am. Then I'm going to load up on PayPal for Thursday's earnings.  My AMD calls are steady climbing too. 10/19 28.5 just went ITM.",AMD,28.5,10/19,1
"Lmao I was actually able to sell my $210 4/12 Apple calls. Today is weird af.  Also, the volume on Boeing pretty much stopped. Everyone’s just waiting on news to jump back in or dump it ",Lmao,210,4/12,1
Am I fucked on making my money back on BABA 177.5 8/24 calls?,BABA,177.5,8/24,1
I have one AAPL $210 July call that I bought at 3pm today and I will probably sell at open and then roll out to $220s with same expiry as I still see them approaching their ATHs again like most of the rest of tech has done. I also sold a put credit spread on AAPL that was literally free money. Thanks Tim Apple! Now I just need Disney to follow suit and be $150 after their earnings and I’ll be set.,AAPL,210,July,1
Free fall = free money on the upside. I bought spy 5/11 $260 calls @2.63 and flipped them a couple hours later for 4.50 a piece.,spy,260,5/11,1
sold SPY puts that expire tomorrow at the bottom free $400 inc,SPY,400,tomorrow,1
Tesla makes 80% of their cars in house. Suppliers are cookie crumbs subject to change at a moment's notice. Just quit being a pussy and buy TSLA 2019 Jan $400 calls at open.,TSLA,400,Jan,1
"I would buy AMD call options expiring after the next ER. For instance, the $39 call expiring Nov 15th are around a dollar these days. You can buy those and then set a sell (good till cancelled) order for double the price, then forget about it.",AMD,39,Nov 15th,1
bought May 08 SCTY 57 puts,SCTY,57,May 08,1
Shit sold my 15k MSFT $139 10/25 calls for a 20% lost at $137.5 and glad I did! It would’ve been a huge lost if I held it and probably would need a good ER to save them.,MSFT,139,10/25,1
"Chgg $30 November 16 calls bought, let's get this cheddar boys.",Chgg,30,November 16,1
I own 1 whopping $135 Dec 17 Call of FB that is up 20% today.  Don't cuck the zuck.  ,FB,135,Dec 17,1
"I just saw your post, I ended up buying a $221.5 9/28 call, and hope to sell in the next week or two. I’ve looked at the graph of AAPL stock and how it performs prior to keynotes, and it always seems to go up. The day of the keynote can swing wildly, so I’ll pull out before that. ",AAPL,221.5,9/28,1
"You can try something a bit safer. September USO $9.5 calls are at $50 cents. Sell puts and if the etf is below $9.5 in September, you take shares and basically your entry point at $9. If it's above $9.5 you keep the premium. ",USO,9.5,September,1
"looks like someone just bought a massive strangle on $APA, March 1st weekly expiration...  42.2k volume on both the 31.5 put and the 32.5 call...  what the fuck ",APA,31.5,March 1st,1
$18.03   PBoC devalues a tiny bit again tonight and silver goes even higher.  $18 9/6 SLV calls were .04 last Friday :|,SLV,18.03,9/6,1
I need to decide whether to sell my 7/20 $60 calls on MU or not today.  I am still in the green so just take whatever profit I can or hope it pops back up before expiry.  Also have Oct $60s that I am unsure about and debating unloading those at a loss just to be all in cash. ,MU,60,7/20,1
QQQ 4/27 167 calls will be a 10 bagger this week ,QQQ,167,4/27,1
Trying to decide if/when to sell my Snap $8 puts and jump on the GE train.   Worth holding puts on puts until Snap earnings? Long expiry 11/16 and 2019,Snap,8,11/16,1
Immediately buy MU $90 12/7 calls. As many as you can. Its the only cure for the green RH bug.,MU,90,12/7,1
"I bought one call for 7/5 at $1.40 ea 25.5 strike, hopefully we’ll moon",ea,25.5,7/5,1
10/19 FB $165 calls,FB,165,10/19,1
First thing is first. Download robin hood and claim your free stock. Second deposit your life savings and buy $TSLA 420 Calls expiring Friday and you will at least triple your investment.  Rinse and repeat until you can afford a seat in SpaceX next launch to literally go to the moon 🌝!!!,TSLA,420,Friday,1
Same here brother. SPY $270 11/23 PUTS...,SPY,270,11/23,1
looking for advice here: sell my 5 MU $54's with a 12/21 expiration at open or hold for a further rise? They were up 26% going into market close today.,MU,54,12/21,1
BYND 170 8/9,BYND,170,8/9,1
YOLO CGC Feb 15 $35 Calls - $2.90  Farm bill going to pass with yuge hemp provision. Moonshot baby 🚀🚀🌝,CGC,35,Feb 15,1
$HD 8/30 210 Calls; Becky’s husband,HD,210,8/30,1
Sell my 87.5 TGT 8/24 calls and my 30 9/21 PSTG calls. Determine position in SPLK.,TGT,87.5,8/24,1
I have a 5/10 AMZN $2000 call and I’m kinda scared about earnings tbh. Any thoughts?,AMZN,2000,5/10,1
$3.5 or $4 January calls for SDRL nice and risky for you :),SDRL,3.5,January,1
Weak hands don’t bring winnings. I’ve been on 1/31 MSFT $160 C riding deep into negative territory for the past week or so,MSFT,160,1/31,1
"Seems like MCD caught the aids, might have to bail on these SEP 6 222.5c they're starting to look like a far reach",MC,222.5,SEP 6,1
Quickly closed out the 1.5 SUNE calls I had sold before it went up more / exercised.  Quickly bought to close the 1.0 puts I had sold when they were cheap and ended $150 up.    Waited until the second we broke 195/were above upper bollinger for two consecutive candles and YOLO'd on four 196 calls for March.    Sold my 190 puts before they lost anymore money.,SUNE,1.5,March,1
SPY calls $350 for 1/2022? too wreckless?,SPY,350,1/2022,1
"Thank you for your sacrifice, still holding my AMD calls 1/24 51.50 strike, let's go!",AMD,51.50,1/24,1
"VRX strangle, 10 22.50P/5 32.50 C  JBL $21 calls for run up (hopefully) before earnings on Jun 15",JBL,21,Jun 15,1
"Long calls on AMD $30, hoping to sell them just before earnings on 10/26, if the hype drives the price 1-2%.   Long Straddle  on the SPY expiry 11/15",AMD,30,11/15,1
"I'm still a novice when it comes to options so I can only speak from my own experience. By the way, each option is a contract for 100 shares.   Early last week when the stock price was around $13 I bought 100 options:  &gt; 50 NQ 12/21/2013 15.00 C @$2.16  &gt; 50 NQ 12/21/2013 16.00 C @$1.91  Last week was a bit rough; when the stock dropped to $9.50 my options lost half their value. Thankfully the stock rose again and they've since recovered (in fact I'm ever so slightly ahead). So a ~25% drop in stock price caused a ~50% drop in the value of my options.   As I said I'm a novice and these were the first options I've ever bought. I'm still hazy on how you figure out what they SHOULD be worth if the stock rises to a certain point.",NQ,15.00,12/21/2013,1
Should I sell or hold my 12/20 AAPL $270 calls?,AAPL,270,12/20,1
3/1 $276. I just have a strong feeling we’ll be green tomorrow after this poop butt ass day. Also hoping my 3/1 atm NFLX calls I bought yesterday will actually move tomorrow.,NFLX,276,3/1,1
Sell it.  Also buy MU 90 Calls for Jan 2020,MU,90,Jan 2020,1
Should I just sell my Dec 82.5 sbux call? I thought becky never loses...,sbux,82.5,Dec,1
"Thank god, all my $230 FB call expired on 7/21. I am fine now.",FB,230,7/21,1
**AMD 4/12 $28** calls up nearly 100% today how could I get so damn lucky. Sorry 🐻 🥀,AMD,28,4/12,1
"Dumped ten grand into PDLI @2.5661, which was down 15.5%. Tried to sell $3 Jan 17 calls @ $0.20 but they didn't sell. ",PDLI,3,Jan 17,1
picking up some SNAP 5/17 $13 Calls,SNAP,13,5/17,1
"Actually, fuck that.  I'm going to load up on some IQ Jul 20 2018 40.00 calls.  More interest and lots more momentum.",IQ,40.00,Jul 20 2018,1
Levered to the tits on 4/5 CRON $17.5 puts. WCGW?,CRON,17.5,4/5,1
PFE 43 call on Jan 31 is tendies,PFE,43,Jan 31,1
December $120 msft and $150 visa calls ,msft,120,December,1
someone tell me to sell or hold my ge $12 11/02 puts. up 70% today alone but still lower than when I bought them at first (averaged down so very much profitable rn),ge,12,11/02,1
Done. I’m like 90% in on AMD 6/29 $17 calls.,AMD,17,6/29,1
Be a true boss and buy July 20 40 calls all in or join the 90 MU Guy ,MU,40,July 20,1
"Ugh still holding BAC calls 28.5 and 29. Expire 4/12, 4/26 and 5/17. Up 40% currently. Was up 100% this morning lol. Am I and autist for holding?",BAC,28.5,4/12,1
Why isn't MSFT jumping more with the SAP deal?  This is my 1st time buying FD's and I don't think I can handle the anxiety. Bought $140 calls expiring 10/25 last week Friday.,MSFT,140,10/25,1
At this rate RIP 6/22 $17 puts,RIP,17,6/22,1
I'm eyeing those NKTR 8/17 $60 calls.... think there are tendies hiding in those?  EDIT: I'm going to find out https://imgur.com/a/K7BLleV,NKTR,60,8/17,1
The bid price on a NFLX Jan 26 $265 C is .27 so he can sell it to a market maker for $27. It doesn't matter if someone else buys his contract because the market maker has to buy it at the bid price.,NFLX,265,Jan 26,1
$80 Roku puts October expiry. We gonna slam into the 200ma,Roku,80,October,1
Spy  278 call exp 7/13 you have 5 minutes to buy good luck,Spy,278,7/13,1
SPY 12/21 265 calls. So I’ll be joining you soon ,SPY,265,12/21,1
Hope I didn't fuck up buying 4/20 165.5 calls on QQQ  Edit: rip,QQQ,165.5,4/20,1
MMMM SBUX Sep '15 $52.5 Calls are looking mighty tasty....,SBUX,52.5,Sep '15,1
Would I be retarded to yolo $500 on USO $13 9/20 calls?,USO,13,9/20,1
In there with y'all. Playing itm though. 9/6 230 puts,itm,230,9/6,1
"$CVS March $80 calls, [bought at $2.75 on the -6% dip](https://imgur.com/a/K6q4b), feeling pretty good about these.  Median PT $90, high PT of $100: http://money.cnn.com/quote/forecast/forecast.html?symb=CVS",CVS,80,March,1
"Just picked up 40 VXX 14.50 calls for 1/17. Tons of volume, hoping for the best",VXX,14.50,1/17,1
Nah it’s the 3/15 $1700 - entry price 46.3,Nah,1700,3/15,1
"Not a bad entry price if you ask me.  I sold some 2/22 57.5s for about 3.80 a pop, worst case I’ll own some more goos shares for under 54 bucks a share, I’ll take it.",goos,57.5,2/22,1
LHX Jan 17 220 calls.,LHX,220,Jan 17,1
"going for the capture, gonna get some 9/20 v $180 calls at .25",v,180,9/20,1
"Who the fuck is gambling this hard in bear gang?  Almost 15k volume... on spy $200 puts for Jan 18, 2019 lol",spy,200,"Jan 18, 2019",1
$8 put Rad 7/19,Rad,8,7/19,1
$MU 7/21 $90  This will be one of the numerous bumper stickers and WSB decals on the van of the now homeless alleged suspect in Robinhood incident. $Snap puts will be found to be the trigger for the unfortunate individual.,MU,90,7/21,1
Fuck.  Need to decide whether to take the loss on the $53 7/6 MU puts I have or ride them out.  ,MU,53,7/6,1
Tried out a SPY Iron condos for the first time. 8/9 Sold $299 call and $287 put and bought $4 out from those. Looks like it could break the top. Hoping I can buy it back for 30-50% gain in a few weeks if it doesn't.,SPY,299,8/9,1
plz send help to my $300 7/20 Cs,plz,300,7/20,1
Imagine being stupid enough to sell SPY 8/14 $289.5p at open to switch to calls after an hour.... Yeah....,SPY,289.,8/14,1
Probably load up on more 4/18 XLF 27 calls ,XLF,27,4/18,1
Bought 2 more $280 August calls for AVGO. Let’s go semis!,AVGO,280,August,1
"Idk about others man, but your$GE June $24 is not cool. Were you really drunk like me ? I lost my 75% or 85k after trading under influence.......",GE,24,June,1
Just picked up 10 MU July 28 2017 $32 Call  Let's hope it's better than throwing the $$ into a fireplace  In @2.28,MU,32,July 28 2017,1
"Her: ""Hello Young Man, how can I help you?""  WSB: ""Hi, I am on the Autism Spectrum""  Her: ""Can you tell me more?""  WSB: ""MU @ $90  9/7/2018""  Her: ""We're going to involuntarily commit you today. Don't worry.""",MU,90,9/7/2018,1
