Comment,Stock,Price,Date,Label
"Listen up retards, I’m up $69.69 today. This means free tendies tomorrow. $PLUG to the moon bois",PLUG,$69.69,"[today, tomorrow]",1
I bought 3 GRPN puts @2.50 last week am i rich now? Help plz.,GRPN,2.50,[last week],1
I bought AMD back in 2005 for $2.69 and sold within a few months when it dipped a little. I am a retard. How many of you have made retarded decisions like this?,AMD,$2.69,"[2005, a few months]",1
ABBV 3/20 0.16c underrecognized KALETRA,ABBV,0.16,[3/20 0.16c],1
"I bought $GRPN shares at $2.92 yesterday, AMA",GRPN,$2.92,[yesterday],1
3744 shares of AMD sold @ $2.01 in 2016,AMD,$2.01,[2016],1
Started with 2.5k 3 days later I was down to $340. YOLO my account on SPCE calls 3 days later 5.3k. I love playing with the autistic kids!,SPCE,2.5,"[2.5k 3 days later, 3 days later]",1
Started with 2.5k 3 days later I was down to $340. YOLO my account on SPCE calls 3 days later 5.3k. I love playing with the autistic kids!,SPCE,2.5,"[2.5k 3 days later, 3 days later]",1
Closed our SPCE swing trade today for an 87.28% gain and RIGHT before the 27% crash. Phew!,SPCE,87.28,[today],1
What's this going to look like tomorrow with all the after hours trading? Got in on the $DBX action with 19.5c 3/6 (small timer bets) roast me all you want.,DBX,19.5,[tomorrow],1
"$15,500 today from YOLOing a $0.18 biotech stock (NWBO)",YOLO,$0.18,[today],1
"$15,500 today from YOLOing a $0.18 biotech stock",YOLO,$0.18,[today],1
"IBIO press release out today or Monday, there making progress on a Vaccine cure for Coronavirus and a nasal spray !!!! =$$$$$$$$ IBIO going from .30 cents to $15.00 to $20.00 gunna make ALOT OF PEOPLE RICH!!!$$$$$$$$$$",ALOT,$15.00,"[today, Monday]",1
"Yap, I bought 3600 SPCE at 41.7 each",SPCE,41.7,[3600],1
"THIS IS A FLASH CRASH! look at the yield curve, it was inching closer towards inverting every day, every time it inches closer to inversion, the market drops, but today, it jumped up 0.40%, the market will climb up and this 1-week old bear market today.",ASH,0.40,"[every day, today, 1-week old, today]",1
Made $1.82 today on $SPCE,SPCE,$1.82,[today],1
$GILD is really fucking with my 69.5 2/28c this week,GILD,69.5,[this week],1
"Hopefully tomorrow pans out for CZR. I was almost there. SNE 3/19 77.50, Ford 6/19 $9, ......CZR 1/21 $15 calls.",CZR,77.50,"[tomorrow, 3/19 77.50]",1
Can DIS go above 134.54 by March 27?,DIS,134.54,[March 27],1
go GILD (+6.56% today),GILD,6.56,[today],1
Last 1.2k yolo on DAL Puts,DAL,1.2,[Last 1.2k],1
DD -- $APT — $20.00 — 1.5 month play - Combining financials + reports with recent price movement and macro trends - Medium-term puts will print once Coronavirus hype dissipates and over-valued pump crashes. Position included.,$AP,$20.00,[1.5 month],1
DD -- Alpha Pro Tech — $20.00 — 1.5 month play - Combining financials + reports with recent price movement and macro trends - Medium-term puts will print once Coronavirus hype dissipates and over-valued pump crashes. Position included.,nan,$20.00,[1.5 month],1
I bought a 46.50 2/28 AMD put yesterday evening. Can I sell it right now?,AMD,46.50,[yesterday],1
"APT closed up 103.79% today, thank you Corona Virus!",APT,103.79,[today],1
"37.5k gain today in SPY puts. Rode TSLA, BYND, SPCE, SQ, MSFT on the way up, SPY on the way down.",MSFT,37.5,[today],1
180 to 500 challenge done one day off AAL puts 21.5 2.28,AAL,21.5,[one day],1
"If $CCL drops below $25.00 a share tomorrow, i’ll tattoo Degenerate on my collar bone.",$CC,$25.00,[tomorrow],1
"Had 909 shares of $CODX at 3.30$ a share a few days ago, sold because I’m a pussy and now it’s $18. Bought $iBio earlier for $0.60 a share and pussied out cause it went to 0.57 and now it’s at $1.40.",CODX,3.30,[a few days ago],1
$EWY printing tomorrow | KOSPI down 2.25%,$EW,2.25,[tomorrow],1
"🍣🌈🐻 Gang with puts on $EWJ is going to print tendies tomorrow, bigly, as NIKKEI is -4.1% currently",$EW,4.1,[tomorrow],1
$APT went from $3.30 to $49(AH trading now) in under 60 days,$AP,$3.30,[under 60 days],1
8 year low of $6.52 for Overstock (OSTK) after hitting over $29 in Aug. Dividend voted in for next month. Anyone making any plays?,OST,$6.52,"[8 year, next month]",1
"New, bought 1 call on ACB expiration 1 week strike $1.50",ACB,$1.50,[1 week],1
"Not a bad week for my first week on the street... Best trade was an APT $20 call, made $10.7k off of it.",APT,$10.7,"[a bad week, my first week]",1
Lucky 🐻 - took 11k profit on $SPY mere minutes before it spiked at closing bell after deciding not to HODL. Started with $1.8k,HODL,$1.8,[11k],1
"China's factories activity plunges, worse than global financial crisis in 2008/9 [Composite PMI at 28.9 (v. Jan 53)]",nan,28.9,[Jan 53],1
"I'm a poor and after trading options, starting with an AMD put I bought last friday, I'm up 93.97%. I still have a DIS 3/20 110 put I'm holding, everything else is in cash. I plan to take out my initial investment of 2k and put it in savings so I am only playing with profits. It's been a good week.",AMD,93.97,"[last friday, a good week]",1
PSA - Stop donating to St. Judes Children’s Hospital. The CEO is the 13th highest paid CEO in the world for non-profit organizations. In 2013 the CEO was making 6.7 million dollars a year. Your donations are paying his salary. In 2018 he’s making over 1.2m,PSA,6.7,"[2013, 2018]",1
OMI 7.83 - To The Moon Alice. Friday’s options tell the story. Long Owens Minor. Short MMM.,MMM,7.83,[Friday],1
Bought 70 lots CALL for Mar20 @ 320 with Avg 3.5 premium,ALL,3.5,[70],1
"LRN online learning K-12 high of 37 low of 15.86 trading 19.88 x2.5 times daily volume on Friday, $800 Million Market Cap. Could go substantially higher if there are school closures in the upcoming weeks.",LRN,15.86,"[daily, Friday, the upcoming weeks]",1
LRN @ $19.88 Up 7.29% On 2.5x Normal Volume Friday - Corona Virus Stock &amp; Options Play,LRN,$19.88,[Friday],1
Australian time lord here - NASDAQ etfs on the ASX went up 3.23% today (Monday 2nd March 2020) buy calls - our past is your future,ASX,3.23,"[today, Monday 2nd March 2020]",1
BRITISH BEARS slap down FTSE gains today. From 2.5% to -1.0%,FTS,2.5,[today],1
Fuck you RH. Gay noob from r/all trying to buy my first options. Set up my account over the weekend. Couldn’t do shit yesterday. Tried to buy SPY put an hour ago at $5.50 but couldn’t and now it’s up by 40%.,SPY,$5.50,"[the weekend, yesterday]",1
Made gain even after RH had system down AGAIN today. Bought 10 NUGT call $25.5 3/13 @$3.10 sold for $6.10,NUGT,$25.5,[today],1
"Week 1 on $1k shallows and learning. Got in at $3.95 INO out at $7, back in to grab after-hrs zipper action. Here to say you bring laughter to a crying game. Doin gods work. Made stonks pic my phone wallpaper so I can autist. Ty for teaching me how to cup my tendies. Can’t wait for bankruptcy. Pz",INO,$3.95,[Week 1],1
SPY up 4.20% today. Smoke em if you got em.,SPY,4.20,[today],1
SPY finished the day up 4.20%,SPY,4.20,[the day],1
Reminder that nomoneyball must tell their therapist they jerk off thinking about them if AMD trades above $54.82 by next Friday.,AMD,$54.82,[next Friday],1
Gain: I accidently bought 100 RCL call options yesterday and sold for $2.7K gain today,RCL,$2.7,"[yesterday, today]",1
"So yesterday I posted that if $AMD ended red I would donate $500.00 to St. Judes. It ended green, but I got out unscathed before the pump at the end. For that I am grateful. Here is my sacrifice to the WSB gods for the mercy.",$AM,$500.00,[yesterday],1
BSX closed slightly in green today. After close it's down 6.5%. Anyone knows why?,BSX,6.5,[today],1
VIPS 3/13 14.5 Puts,VIPS,14.5,[14.5],1
How low can USO go? $109.20 in 2008,USO,$109.20,[2008],1
